"VAMP_score","data"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
-0.075192482,"pred"
-0.075192482,"pred"
-0.075192482,"pred"
-0.075192482,"pred"
-0.075192482,"pred"
0.587628101,"pred"
0.327364333,"pred"
0.586527652,"pred"
0.586527652,"pred"
0.586527652,"pred"
0.586527652,"pred"
0.586527652,"pred"
0.484374765,"pred"
0.484374765,"pred"
0.484374765,"pred"
0.484374765,"pred"
0.484374765,"pred"
0.484374765,"pred"
0.718344916,"pred"
0.718344916,"pred"
0.718344916,"pred"
0.718344916,"pred"
0.718344916,"pred"
0.718344916,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
0.240164365,"pred"
0.240164365,"pred"
0.240164365,"pred"
0.240164365,"pred"
0.240164365,"pred"
0.481194727,"pred"
0.096220549,"pred"
0.50117064,"pred"
0.50117064,"pred"
0.50117064,"pred"
0.338048905,"pred"
0.338048905,"pred"
0.338048905,"pred"
0.338048905,"pred"
0.338048905,"pred"
1.12155048099999,"pred"
1.12155048099999,"pred"
1.12155048099999,"pred"
1.12155048099999,"pred"
1.12155048099999,"pred"
1.12155048099999,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
0.903754145999999,"pred"
0.903754145999999,"pred"
0.903754145999999,"pred"
1.032667554,"pred"
0.924770344,"pred"
1.086638093,"pred"
1.086638093,"pred"
1.086638093,"pred"
1.019592421,"pred"
1.019592421,"pred"
1.019592421,"pred"
1.019592421,"pred"
1.019592421,"pred"
0.861466255,"pred"
0.861466255,"pred"
0.861466255,"pred"
0.861466255,"pred"
0.861466255,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
0.236487648,"pred"
0.236487648,"pred"
0.236487648,"pred"
0.236487648,"pred"
0.236487648,"pred"
0.47217092,"pred"
0.392625606,"pred"
1.083525749,"pred"
1.083525749,"pred"
1.083525749,"pred"
1.083525749,"pred"
1.083525749,"pred"
0.526314335,"pred"
0.526314335,"pred"
0.526314335,"pred"
0.526314335,"pred"
0.526314335,"pred"
0.526314335,"pred"
0.880491751,"pred"
0.880491751,"pred"
0.880491751,"pred"
0.880491751,"pred"
0.880491751,"pred"
0.880491751,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
1,"pred"
0.244952041,"pred"
0.244952041,"pred"
0.244952041,"pred"
0.244952041,"pred"
